title,savedAt,query,language,article URL,main topic,stance / attitude towards,"Clickbaityness/credibility (0 is good, 1 is very bad)"
Fed interest rate decision today: Live updates on expected rate hike - USA TODAY,14/12/2022 18:11,,en,https://www.usatoday.com/story/money/economy/2022/12/14/fed-interest-rate-federal-reserve-meeting-live-updates/10867165002/,interest rate,2,0
Moscow police should hand over control of Idaho murder investigation: former FBI agent - New York Post ,14/12/2022 18:11,,en,https://nypost.com/2022/12/14/police-should-hand-idaho-murders-case-to-fbi-former-agent/,moscow police,2,0
World Cup 2022: Morocco fans' heartbreak as Doha flights cancelled - BBC,14/12/2022 18:11,,en,https://www.bbc.com/news/world-africa-63973938,World cup Morocco,2,0
"Scream 6 - Official Teaser Trailer (2023) Jenna Ortega, Melissa Barrera - IGN",14/12/2022 18:11,,en,https://www.youtube.com/watch?v=PesQLjkAEew,Scream 6,2,0
Mortgage demand inches higher as interest rates move lower - CNBC,14/12/2022 18:11,,en,https://www.cnbc.com/2022/12/14/mortgage-demand-inches-higher-as-interest-rates-move-lower-.html,interest rate,2,0
Sony and Nintendo's year in reviews reveal your top games of 2022 - Engadget,14/12/2022 18:11,,en,https://www.engadget.com/playstation-nintendo-year-in-review-tools-top-games-hours-logged-115542018.html,top games 2022,2,0
"Delta Air Lines raises Q4 earnings guidance, says 'momentum is building' - Yahoo Finance",14/12/2022 18:11,,en,https://finance.yahoo.com/news/delta-air-lines-raises-q-4-earnings-guidance-says-momentum-is-building-114623939.html,Delta Air Lines,3,0
At least four dead after boat capsizes in English Channel - CNN,14/12/2022 18:11,,en,https://www.cnn.com/2022/12/14/uk/english-channel-migrant-boat-deaths-intl-gbr/index.html,boat capsizes,2,0
"Carlos Correa signs with Giants: Star free agent lands in San Francisco on 13-year, $350 million contract - CBS Sports",14/12/2022 18:11,,en,https://www.cbssports.com/mlb/news/carlos-correa-signs-with-giants-star-free-agent-lands-in-san-francisco-on-13-year-350-million-contract/,Carlos Correa Giants,2,0
Jay Leno details how his 'face caught on fire' in first interview since accident - CNN,14/12/2022 18:11,,en,https://www.cnn.com/2022/12/13/entertainment/jay-leno-burn-accident-interview/index.html,Jay Leno fire,2,0
"The 7 things you need to know for Wednesday, December 14 - The Washington Post",14/12/2022 18:11,,en,https://www.washingtonpost.com/the-seven/2022/12/14/what-to-know-for-december-14/,Wednesday December 14,2,0.8
"Wonder Woman 3 director Patty Jenkins ‘never walked away’, Rogue Squadron still alive - Polygon",14/12/2022 18:11,,en,https://www.polygon.com/23508767/wonder-woman-3-patty-jenkins-cancellation-rogue-squadron-dc-studios,Rogue Squadron Jenkins,3,0.8
"Chiefs, Bills, Vikings, 49ers, Cowboys can all clinch playoff berths in Week 15 - NBC Sports",14/12/2022 18:11,,en,https://profootballtalk.nbcsports.com/2022/12/14/chiefs-bills-vikings-49ers-cowboys-can-all-clinch-playoff-berths-in-week-15/,NFL Sports,2,0
"Grant Wahl, journalist who died at World Cup, suffered aortic aneurysm, wife says - The Washington Post",14/12/2022 18:11,,en,https://www.washingtonpost.com/sports/2022/12/14/grant-wahl-cause-of-death/,World Cup journalist,2,0
New polls: Trump's 2024 bid has a growing DeSantis problem - Axios,14/12/2022 18:11,,en,https://www.axios.com/2022/12/14/trump-desantis-polls-republican-primary-2024,Trump,1,0.5
Indian and Chinese troops fight with sticks and bricks in video - CNN,14/12/2022 18:11,,en,https://www.cnn.com/2022/12/14/asia/india-china-border-tensions-video-intl-hnk/index.html,India China conflict,2,0
"Feldman: Mike Leach’s original, influential life and the roller coaster on which it sent me - The Athletic",14/12/2022 18:11,,en,https://theathletic.com/3998015/2022/12/13/mike-leach-career-book-bruce-feldman/,Feldman Mike Leach,2,0.8
Only iPhones that can’t run iOS 16 are getting new iOS 15 updates - Ars Technica,14/12/2022 18:11,,en,https://arstechnica.com/gadgets/2022/12/apple-releases-ios-15-security-updates-for-devices-that-cant-upgrade-to-16/,iPhones update,2,0
2022: A Year of Success - NASA,14/12/2022 18:11,,en,https://www.youtube.com/watch?v=FSJC7XvyMXY,NASA,3,0
Oregon Gov. Kate Brown commutes sentences of state's 17 death row inmates - Fox News,14/12/2022 18:11,,en,https://www.foxnews.com/us/oregon-gov-kate-brown-commutes-sentences-states-17-death-row-inmates,Oregon death row,1,0
Covid cases explode in Beijing leaving city streets empty and daily life disrupted - CNN,14/12/2022 18:11,,en,https://www.cnn.com/2022/12/14/china/beijing-zero-covid-easing-streets-impact-intl-hnk-mic/index.html,covid china,1,0
Maine Voices: Gun violence is neither far off nor impossible in our state - Press Herald,14/12/2022 18:11,,en,https://www.pressherald.com/2022/12/14/maine-voices-gun-violence-is-neither-far-off-nor-impossible-in-our-state/,Maine gun violence,1,0
Nasa mission will give unprecedented view of Earth’s surface water - The Guardian,14/12/2022 18:11,,en,https://www.theguardian.com/science/2022/dec/13/nasa-swot-satellite-radar-survey-launch,NASA,3,0.5
Mark your calendar for the strongest meteor shower of the year - CNN,14/12/2022 18:11,,en,https://www.cnn.com/2022/12/13/world/geminids-meteor-shower-december-scn/index.html,Meteor shower,2,0.5
"In a first, hear a Mars rover get hit by a 387-foot dust devil - The Washington Post",14/12/2022 18:11,,en,https://www.washingtonpost.com/science/2022/12/13/mars-rover-dust-devil/,Mars,2,0.5
Samsung Galaxy A71 5G gets Android 13 update - SamMobile - Samsung news,14/12/2022 18:11,,en,https://www.sammobile.com/news/galaxy-a71-5g-android-13-update-released/,Samsung A71 update,3,0
"ADA Advises New BP, Lipid Targets for People With Diabetes - Medscape",14/12/2022 18:11,,en,https://www.medscape.com/viewarticle/985482,ADA diabetes,2,0
"POTS, a debilitating heart condition, is linked to Covid and, to a lesser degree, vaccines - Yahoo! Voices",14/12/2022 18:11,,en,https://news.yahoo.com/pots-debilitating-heart-condition-linked-210458575.html,Covid POTS,2,0
"Covid-19 vaccines have saved more than 3 million lives in US, study says, but the fight isn't over - CNN",14/12/2022 18:11,,en,https://www.cnn.com/2022/12/13/health/covid-19-vaccines-study/index.html,Covid vaccines,3,0.3
U.S. lawmakers unveil bipartisan bid to ban China's TikTok - Reuters,14/12/2022 18:11,,en,https://www.reuters.com/world/us/us-lawmakers-unveil-bipartisan-bid-ban-chinas-tiktok-2022-12-13/,China TikTok,1,0
‘White Lotus’ Star Meghann Fahy Predicts What Happened on Daphne and Ethan’s ‘Sexual’ Rendezvous - Variety,14/12/2022 18:11,,en,https://variety.com/2022/tv/news/white-lotus-meghann-fahy-daphne-ethan-sex-1235459551/,White Lotus,2,1
Twitter suspends Elon Musk's jet tracker account - Axios,14/12/2022 22:43,,en,https://www.axios.com/2022/12/14/twitter-elon-musk-jet-tracker-account-suspended,Twitter Elon jet,2,0
Margot Robbie and Carey Mulligan on ‘Babylon’ Orgies and Why ‘Barbie’ Will Be ‘Everything You Dreamed Of’ - Variety,14/12/2022 22:43,,en,https://variety.com/2022/film/features/margot-robbie-carey-mulligan-babylon-orgies-barbie-teases-1235451458/,Robbie Mulligan Barbie,3,1
‘The Most Interesting Man Alive’: Stories About Mike Leach Paint His Life Picture - Sports Illustrated,14/12/2022 22:43,,en,https://www.si.com/college/2022/12/14/mike-leach-stories-mississippi-state-wazzu-legacy,Mike Leach,3,0.7
Severe storms with tornadoes have killed at least 2 and injured more than 2 dozen others in the South -- with more destruction possible today - CNN,14/12/2022 22:43,,en,https://www.cnn.com/2022/12/14/us/nationwide-massive-storm-tornadoes-wednesday/index.html,strom tornado South,2,0
Intermittent fasting can reverse type 2 diabetes in in MONTHS - Daily Mail,14/12/2022 22:43,,en,https://www.dailymail.co.uk/health/article-11538481/Intermittent-fasting-reverse-type-2-diabetes-MONTHS.html,intermittent fasting,3,0.5
U.S. Air Force veteran freed in Ukraine-Russia prisoner swap - Axios,14/12/2022 22:43,,en,https://www.axios.com/2022/12/14/air-force-veteran-prisoner-swap-ukraine-russia,Ukriane Russia prisoner,2,0
Ukraine War: US planning to send Patriot air defence missiles - BBC,14/12/2022 22:43,,en,https://www.bbc.com/news/world-us-canada-63977645,Ukraine Russia Patriot,2,0
Morocco vs. France: Outside Al Bayt stadium and FIFA Fan Zone in Doha ahead of World Cup semifinal - Associated Press,14/12/2022 22:43,,en,https://www.youtube.com/watch?v=Ug5kgrhNYQg,World Cup semifinal,2,0
Fantasy football rankings: 2022 NFL Week 15 projections from proven model that outperformed experts - SportsLine.com - SportsLine,14/12/2022 22:43,,en,https://www.sportsline.com/insiders/fantasy-football-rankings-2022-nfl-week-15-projections-from-proven-model-that-outperformed-experts/,NFL predictions,2,0.8
Elizabeth Warren unveils bipartisan bill to crack down on crypto money laundering - CNN,14/12/2022 22:43,,en,https://www.cnn.com/2022/12/14/business/elizabeth-warren-bipartisan-crypto-crackdown/index.html,crypto money laundering,1,0
'My fault alone': Jack Dorsey takes 'blame' for scandals revealed in 'Twitter Files' - New York Post ,14/12/2022 22:43,,en,https://nypost.com/2022/12/14/my-fault-alone-jack-dorsey-takes-blame-for-twitter-failures/,Twitter Files,2,0
Geminid meteor shower fast facts - Fox News,14/12/2022 22:43,,en,https://www.foxnews.com/science/geminid-meteor-shower-fast-facts,meteor shower,2,0.2
Fed Meeting: Get Ready For A Hawkish Surprise; S&P 500 Rally Faces Test - Investor's Business Daily,14/12/2022 22:43,,en,https://www.investors.com/news/economy/fed-meeting-soft-cpi-sets-stage-for-hawkish-surprise-sp-500/,interest rate,1,0.3
Ukraine war live updates: Russia says no 'Christmas ceasefire'; Blasts rock Kyiv as drones attack the capital - CNBC,14/12/2022 22:43,,en,https://www.cnbc.com/2022/12/14/ukraine-war-live-updates-latest-news-on-russia-and-the-war-in-ukraine.html,Russia Ukriane cheasefire,2,0
"Dr. Sanjay Gupta: After two years of Covid-19 vaccines, here's why they're still vital - CNN",14/12/2022 22:43,,en,https://www.cnn.com/2022/12/14/health/covid-vaccine-anniversary-gupta/index.html,Covid 19 vaccines,3,0.2
'Harry & Meghan' becomes Netflix's biggest-ever documentary debut - CNBC,14/12/2022 22:43,,en,https://www.cnbc.com/2022/12/14/harry-and-meghan-biggest-netflix-documentary-debut.html,Harry Meghan Netflix,3,0
DOE Mistakenly Sends Loan Forgiveness E-Mail To 9 Million People - CBS Miami,14/12/2022 22:43,,en,https://www.youtube.com/watch?v=cjHooIP_hzM,DOE loan forgiveness,2,0
"Fierce snow and dangerous travel conditions will impact millions as a massive, deadly storm that spawned tornadoes plows east - CNN",14/12/2022 22:43,,en,https://www.cnn.com/2022/12/14/weather/travel-conditions-winter-storm/index.html,dangerous travel conditions,2,0
'Shame on you': Club Q survivors blame GOP rhetoric for mass violence - CNN,14/12/2022 22:43,,en,https://www.cnn.com/2022/12/14/politics/club-q-survivors-hearing/index.html,Club Q GOP,1,0
Sandy Hook 10 years later: Grief remains but hope grows - WMUR Manchester,14/12/2022 22:43,,en,https://www.wmur.com/article/sandy-hook-shooting-10-years-later/42240837,Sandy Hook,2,0
First Thing: Ron DeSantis takes huge lead over Trump in Republican poll - The Guardian US,14/12/2022 22:43,,en,https://www.theguardian.com/us-news/2022/dec/14/first-thing-ron-desantis-takes-huge-lead-over-trump-in-republican-poll,DeSantis Trump poll,3,0
It's no great surprise that the European Parliament is engulfed in a corruption scandal - CNN,14/12/2022 22:43,,en,https://www.cnn.com/2022/12/14/europe/european-parliament-qatar-intl/index.html,European Parliament corruption,1,0.1
NASA's Artemis 1 Orion spacecraft reaches port in San Diego - Space.com,14/12/2022 22:43,,en,https://www.space.com/artemis-1-orion-capsule-reaches-port,NASA,2,0
Al Roker surprised by 'Today' after health scare: See the sweet moment - USA TODAY,14/12/2022 22:43,,en,https://www.usatoday.com/story/entertainment/celebrities/2022/12/14/al-roker-today-show-christmas-surprise/10895573002/,Al Roker health,2,0.8
"Super Nintendo World: Universal Studios Hollywood Sets Opening Date, Reveals New Interactive Elements - Deadline",14/12/2022 22:43,,en,https://deadline.com/2022/12/super-nintendo-world-opening-date-universal-studios-hollywood-1235198685/,Super Nintendo World,3,0
Microsoft Exec Says Xbox's Activision Deal Is Fair Because PlayStation Has Way More Exclusives - IGN,14/12/2022 22:43,,en,https://www.ign.com/articles/microsoft-exec-says-xboxs-activision-deal-is-fair-because-playstation-has-way-more-exclusives,Xbox Activision deal,3,0
"Congress reaches early deal to fund government, races to avert shutdown - The Washington Post",14/12/2022 22:43,,en,https://www.washingtonpost.com/us-policy/2022/12/13/congress-deal-spending-shutdown/,congress fund government,3,0
"Stephen 'tWitch' Boss, former 'Ellen DeGeneres Show' DJ, dies at 40 - FOX 32 Chicago",14/12/2022 22:43,,en,https://www.fox32chicago.com/news/stephen-twitch-boss-former-ellen-degeneres-show-dj-dies-reports,Stephen Boss dies,2,0
"Hong Kong stocks fall nearly 2%, leading losses in Asia after Fed's rate hike, signals more ahead - CNBC",15/12/2022 10:04,,en,https://www.cnbc.com/2022/12/15/asia-markets-fed-rate-decision.html,interest rate,1,0
iOS 16.3 and macOS Ventura 13.2 Betas Add Support for Physical Apple ID Security Keys - MacRumors,15/12/2022 10:04,,en,https://www.macrumors.com/2022/12/14/ios-16-3-beta-security-keys/,Apple update security,3,0
"UCLA Bruins vs. Maryland Terrapins Live Score and Stats - December 14, 2022 Gametracker - CBS Sports",15/12/2022 10:04,,en,https://www.cbssports.com/college-basketball/gametracker/recap/NCAAB_20221214_UCLA@MD/,NFL Sports,2,0
A Russian spacecraft started leaking uncontrollably on Wednesday night - Ars Technica,15/12/2022 10:04,,en,https://arstechnica.com/science/2022/12/a-russian-spacecraft-started-leaking-uncontrollably-on-monday-night/,spacecraft Russia leak,2,0
EXPLAINER: What can the Patriot missile do for Ukraine? - The Associated Press,15/12/2022 10:04,,en,https://apnews.com/b16125509161de8a7a3b4c38022534c7,US Ukraine Patriot,2,0
Suedi Murekezi: Russia frees US man in Ukraine prisoner swap - BBC,15/12/2022 10:04,,en,https://www.bbc.com/news/world-us-canada-63981510,Ukriane Russia prisoner,2,0
"Tornadoes leave a trail of destruction in Louisiana and the Southeast, killing at least 3, collapsing homes and knocking out power - CNN",15/12/2022 10:04,,en,https://www.cnn.com/2022/12/15/weather/nationwide-massive-storm-tornadoes-thursday/index.html,tornado South,2,0
Henry Cavill dropped as Superman after James Gunn announces new movie - The Guardian,15/12/2022 10:04,,en,https://www.theguardian.com/film/2022/dec/15/henry-cavill-dropped-as-superman-after-james-gunn-announces-new-movie,Superman Henry Cavill,2,0.1
UCLA Regents OK move to Big Ten Conference in 2024 - CBS Los Angeles,15/12/2022 10:04,,en,https://www.youtube.com/watch?v=DER_uHCJ-Ec,NFL Sports,2,0
"Justin Timberlake Reflects on “Heartbreaking” Death of Stephen “tWitch” Boss, Friend of 20 Years - E! NEWS",15/12/2022 10:04,,en,https://www.eonline.com/news/1358304/justin-timberlake-reflects-on-heartbreaking-death-of-stephen-twitch-boss-friend-of-20-years,Stephen Boss dies,1,0.4
Elon Musk sells another huge chunk of Tesla shares - CNBC,15/12/2022 10:04,,en,https://www.cnbc.com/2022/12/15/elon-musk-sells-another-huge-chunk-of-tesla-shares-.html,Tesla Musk sells,2,0.1
Arizona Assistant Coaches Took the Fall For Sean Miller - Sports Illustrated,15/12/2022 10:04,,en,https://www.si.com/college/2022/12/14/arizona-wildcats-assistant-coaches-took-fall-sean-miller-ncaa-iarp,Sports,2,0.2
Go to Mars without being there! Listen to dust devil sound captured by Perseverance Rover - HT Tech,15/12/2022 10:04,,en,https://tech.hindustantimes.com/tech/news/go-to-mars-without-being-there-listen-to-dust-devil-sound-captured-by-perseverance-rover-71671081707308.html,Mars,3,0.3
Let's a-go! Super Nintendo World sets Universal Studios opening date - The A.V. Club,15/12/2022 10:04,,en,https://www.avclub.com/super-nintendo-world-universal-studios-hollywood-opens-1849893923,Super Nintendo World,3,0.3
NASA spacecraft heads for the most volcanic place in the solar system - CNN,15/12/2022 10:04,,en,https://www.cnn.com/2022/12/14/world/nasa-juno-jupiter-io-exploration-scn/index.html,NASA volcanic,2,0.2
How to Watch Avatar: The Way of Water – Release Date and Streaming Status - IGN,15/12/2022 10:04,,en,https://www.ign.com/articles/how-to-watch-avatar-the-way-of-water-release-date-and-streaming-status,Avatar way water,2,0.3
Damaging tornado hits New Orleans for second time this year - The Washington Post,15/12/2022 10:04,,en,https://www.washingtonpost.com/weather/2022/12/14/tornado-new-orleans-storm-weather/,tornado South,2,0
Peru declares 30-day state of emergency amid protests at president’s arrest - The Guardian,15/12/2022 10:04,,en,https://www.theguardian.com/world/2022/dec/14/peru-state-emergency-pedro-castillo-protests,Peru protests,2,0
Survivor 43 winner revealed | EW.com - Entertainment Weekly News,15/12/2022 10:04,,en,https://ew.com/tv/survivor-43-winner-revealed/,Survivor 43,2,0.5
Dow Jones Futures: Fed Rate Hike Outlook Hits Market Rally; Elon Musk Sells More Tesla Stock | Investor's Business Daily - Investor's Business Daily,15/12/2022 10:04,,en,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-fed-rate-hike-outlook-hits-market-rally-elon-musk-sells-more-tesla-stock/,interest rate Tesla,2,0
"Tom Hanks was on Pelosi attack suspect hit list, court hears - BBC",15/12/2022 10:04,,en,https://www.bbc.com/news/world-us-canada-63981507,Pelosi attack Hanks,2,0
Biden warns there 'surely will be' another pandemic as he unveils US Africa aid - New York Post ,15/12/2022 10:04,,en,https://nypost.com/2022/12/14/biden-warns-surely-will-be-another-pandemic-as-he-unveils-us-aid-for-africa/,US Africa pandemic,2,0
"China's COVID spike not due to lifting of restrictions, WHO director says - Reuters",15/12/2022 10:04,,en,https://www.reuters.com/world/china/chinas-covid-spike-not-due-lifting-restrictions-who-director-2022-12-14/,China Covid,3,0
Tesla Model X and S Get Full Steam Integration - IGN,15/12/2022 10:04,,en,https://www.ign.com/articles/tesla-model-x-and-s-get-full-steam-integration,Tesla Steam integration,3,0
Lionel Messi confirms World Cup final will be his last ever game in the tournament - Daily Mail,15/12/2022 10:04,,en,https://www.dailymail.co.uk/sport/football/article-11538345/Lionel-Messi-confirms-Sundays-World-Cup-final-game-tournament.html,Messi World Cup,2,0
How Soon Lawmakers Could Ban TikTok In The United States - NBC News,15/12/2022 10:04,,en,https://www.youtube.com/watch?v=jRs39FxweJk,TikTok,1,0.2
What parents should know about Covid vaccine boosters for kids age 5 and under - CNN,15/12/2022 10:04,,en,https://www.cnn.com/2022/12/14/health/covid-bivalent-vaccine-young-children-wellness/index.html,Covid vaccines,2,0.2
"Idaho murders: Coroner weighs in on toxicology reports, describes her role in case - Fox News",15/12/2022 10:04,,en,https://www.foxnews.com/us/idaho-murders-coroner-weighs-toxicology-reports-describes-role-case,Idaho murders,2,0.1
"Azure Striker Gunvolt 3 version 2.0.0 update now available for PS5 and PS4, launches December 16 for Xbox Series, Xbox One, Switch, and PC - Gematsu",15/12/2022 10:05,,en,https://www.gematsu.com/2022/12/azure-striker-gunvolt-3-version-2-0-0-update-now-available-for-ps5-and-ps4-launches-december-16-for-xbox-series-xbox-one-switch-and-pc,Azure Striker Gunvolt,2,0
Guilty Gear Strive showcases incoming balance and mechanics changes in new special clips - EventHubs,15/12/2022 10:05,,en,https://www.eventhubs.com/news/2022/dec/14/guilty-gear-update-showcase/,Guilty Gear Strive,3,0.2
CD Projekt Red say they're working on fixes for The Witcher 3's PC update - Rock Paper Shotgun,15/12/2022 10:05,,en,https://www.rockpapershotgun.com/cd-projekt-red-say-theyre-working-on-fixes-for-the-witcher-3s-pc-update,Witcher 3 update,3,0
Apple’s Emergency SOS via satellite prompts rescue after car goes off a cliff north of LA - TechCrunch,15/12/2022 10:05,,en,https://techcrunch.com/2022/12/14/apples-emergency-sos-via-satellite-prompts-rescue-after-car-goes-off-a-cliff-north-of-la/,Apple emergency SOS,3,0
CNET's Editors' Choice Awards: The Best Products and Services for 2023 - CNET,15/12/2022 10:05,,en,https://www.cnet.com/tech/cnets-editors-choice-awards-the-best-products-and-services-for-2023/,CNET Choice Awards,3,0.2
"Call Of Duty: Season One Update Introduces Raids, Soccer, And A New Map - Kotaku",15/12/2022 10:05,,en,https://kotaku.com/call-of-duty-mw2-warzone-dmz-season-1-reloaded-raid-1849895383,Call of Duty,3,0
Ys Memoire: The Oath in Felghana announced for Switch - Gematsu,15/12/2022 10:05,,en,https://www.gematsu.com/2022/12/ys-memoire-the-oath-in-felghana-announced-for-switch,Switch Oath Felghana,3,0
"Ys X: Nordics Announced For Nintendo Switch, Launching In 2023 - Nintendo Life",15/12/2022 10:05,,en,https://www.nintendolife.com/news/2022/12/ys-x-nordics-announced-for-nintendo-switch-launching-in-2023,ys Noridcs Switch,3,0
PlayStation Plus Game Catalog and Classics Catalog lineup for December 2022 announced - Gematsu,15/12/2022 10:05,,en,https://www.gematsu.com/2022/12/playstation-plus-game-catalog-and-classics-catalog-lineup-for-december-2022-announced,PlayStation plus,2,0
Android Auto’s redesign is now available to cars with rotary input - 9to5Google,15/12/2022 10:05,,en,https://9to5google.com/2022/12/14/android-auto-redesign-rotary/,Android auto redesign,3,0
"Kazuya & Sephiroth amiibo Release 13th January, Pyra & Mythra Arrive In 2023 - Nintendo Life",15/12/2022 10:05,,en,https://www.nintendolife.com/news/2022/12/kazuya-and-sephiroth-amiibo-release-13th-january-pyra-and-mythra-arrive-in-2023,Nintendo,2,0
Getty Images watermark spotted in Crisis Core Final Fantasy 7 Reunion - Eurogamer.net,15/12/2022 10:05,,en,https://www.eurogamer.net/getty-images-watermark-spotted-in-crisis-core-final-fantasy-7-reunion,Final Fantasy 7,1,0
Fortnite developer Epic Games sued for ‘addicted’ game to children - The Washington Post,15/12/2022 10:05,,en,https://www.washingtonpost.com/nation/2022/12/14/fortnite-epic-games-lawsuit-addictive/,Fortnite,1,0
Poll: Rate Your Favourite Switch Games Of The Year 2022 - Nintendo Life,15/12/2022 10:05,,en,https://www.nintendolife.com/news/2022/12/poll-rate-your-favourite-switch-games-of-the-year-2022,Nintendo Switch games,2,0
